# [0]VOLTS  [1]isub_xnmos_d  [2]isub_xpmos_d 
 4.600000e-01  1.488203e-06  -6.768898e-09 
 4.700000e-01  1.547968e-06  -5.305907e-09 
 4.800000e-01  1.607731e-06  -3.842914e-09 
 4.900000e-01  1.667491e-06  -2.379921e-09 
 5.000000e-01  1.727248e-06  -9.169299e-10 
 5.100000e-01  1.741723e-06  -8.303144e-10 
 5.200000e-01  1.756041e-06  -7.436989e-10 
 5.300000e-01  1.770359e-06  -6.570834e-10 
 5.400000e-01  1.784677e-06  -5.704679e-10 
 5.500000e-01  1.798995e-06  -4.838523e-10 
 5.600000e-01  1.813312e-06  -3.972369e-10 
 5.700000e-01  1.827629e-06  -3.106213e-10 
 5.800000e-01  1.841946e-06  -2.240058e-10 
 5.900000e-01  1.856263e-06  -1.373903e-10 
 6.000000e-01  1.870580e-06  -5.077477e-11 
 6.100000e-01  1.878116e-06  -4.597512e-11 
 6.200000e-01  1.885627e-06  -4.117547e-11 
 6.300000e-01  1.893137e-06  -3.637581e-11 
 6.400000e-01  1.900648e-06  -3.157616e-11 
 6.500000e-01  1.908158e-06  -2.677650e-11 
 6.600000e-01  1.915669e-06  -2.197685e-11 
 6.700000e-01  1.923179e-06  -1.717719e-11 
 6.800000e-01  1.930689e-06  -1.237754e-11 
 6.900000e-01  1.938200e-06  -7.577885e-12 
 7.000000e-01  1.945710e-06  -2.778230e-12 
 
 0.000000e+00  1.067880e-10  -9.729491e-07 
 1.000000e-02  2.908535e-10  -9.674214e-07 
 2.000000e-02  4.749191e-10  -9.618938e-07 
 3.000000e-02  6.589847e-10  -9.563661e-07 
 4.000000e-02  8.430502e-10  -9.508383e-07 
 5.000000e-02  1.027116e-09  -9.453106e-07 
 6.000000e-02  1.211181e-09  -9.397829e-07 
 7.000000e-02  1.395247e-09  -9.342551e-07 
 8.000000e-02  1.579313e-09  -9.287273e-07 
 9.000000e-02  1.763378e-09  -9.231996e-07 
 1.000000e-01  1.947444e-09  -9.176441e-07 
 1.100000e-01  5.033184e-09  -8.969862e-07 
 1.200000e-01  8.118932e-09  -8.763280e-07 
 1.300000e-01  1.120468e-08  -8.556696e-07 
 1.400000e-01  1.429042e-08  -8.350108e-07 
 1.500000e-01  1.737616e-08  -8.143517e-07 
 1.600000e-01  2.046190e-08  -7.936923e-07 
 1.700000e-01  2.354763e-08  -7.730327e-07 
 1.800000e-01  2.663336e-08  -7.523727e-07 
 1.900000e-01  2.971909e-08  -7.317124e-07 
 2.000000e-01  3.280481e-08  -7.110061e-07 
 2.100000e-01  6.260265e-08  -6.581494e-07 
 2.200000e-01  9.240196e-08  -6.052911e-07 
 2.300000e-01  1.222010e-07  -5.524311e-07 
 2.400000e-01  1.519998e-07  -4.995696e-07 
 2.500000e-01  1.817982e-07  -4.467066e-07 
 2.600000e-01  2.115964e-07  -3.938419e-07 
 2.700000e-01  2.413944e-07  -3.409756e-07 
 2.800000e-01  2.711920e-07  -2.881077e-07 
 2.900000e-01  3.009894e-07  -2.352382e-07 
 3.000000e-01  3.307865e-07  -1.823804e-07 
 3.100000e-01  4.161679e-07  -1.656734e-07 
 3.200000e-01  5.015835e-07  -1.489663e-07 
 3.300000e-01  5.869966e-07  -1.322591e-07 
 3.400000e-01  6.724072e-07  -1.155518e-07 
 3.500000e-01  7.578151e-07  -9.884437e-08 
 3.600000e-01  8.432206e-07  -8.213686e-08 
 3.700000e-01  9.286235e-07  -6.542924e-08 
 3.800000e-01  1.014024e-06  -4.872152e-08 
